Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Log return,Log return,Log return,Log return,Log return
Ticker,AAPL,AMZN,GOOG,MSFT,NVDA,AAPL,AMZN,GOOG,MSFT,NVDA,AAPL,AMZN,GOOG,MSFT,NVDA,AAPL,AMZN,GOOG,MSFT,NVDA,AAPL,AMZN,GOOG,MSFT,NVDA,AAPL,GOOG,MSFT,AMZN,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-03,0.949066698551178,2.2260000705718994,5.014510631561279,18.454879760742188,0.1801680028438568,0.9763584642092697,2.2720000743865967,5.037516041421005,18.599814057184645,0.18887841220529356,0.9387192543788828,2.2105000019073486,4.835164953564534,18.39276525032054,0.17940423290511937,0.9714098301918244,2.247499942779541,4.8831544582805675,18.496288995564672,0.1862808812228095,691992000,208930000,636143518,65002900,1066716000,,,,,
2005-01-04,0.9588139057159424,2.1070001125335693,4.8114166259765625,18.523900985717773,0.17168676853179932,0.9817566787056452,2.1630001068115234,5.019952413543538,18.703342806458846,0.1817724995437508,0.9442678162475446,2.075000047683716,4.78618389229459,18.39967193163732,0.1689361071670916,0.9565642255998895,2.133500099182129,4.982104497011161,18.54460626685658,0.1814671801900768,1096810400,388370000,552298420,109442100,790224000,0.010217926581371384,-0.041344278116514754,0.0037330222217066833,-0.054941096325378136,-0.04821806133962969
2005-01-05,0.9672113060951233,2.0885000228881836,4.78692626953125,18.48249053955078,0.17329134047031403,0.9784581040041931,2.138000011444092,4.87078546867934,18.703341591851057,0.17535433343202356,0.9604630671802393,2.078000068664551,4.755262103608123,18.468687019687987,0.16893613614285108,0.9666108708989168,2.0785000324249268,4.785441545557379,18.523899782763056,0.16985302342168393,680433600,167084000,330698912,72463500,724812000,0.008719983038454268,-0.005103049528080383,-0.0022380168259936717,-0.008819072317190924,0.009302523655017492
2005-01-06,0.9679607152938843,2.052500009536743,4.664229869842529,18.46177864074707,0.17161066830158234,0.973358623005996,2.112499952316284,4.8460496329038465,18.6757278564098,0.17841028486259397,0.9496659705511215,2.0450000762939453,4.643697577349802,18.385860625096317,0.17038754642303924,0.9697595173353318,2.0905001163482666,4.82576455766169,18.530794898940876,0.17634729224560602,705555200,174018000,417041336,76890500,563568000,0.0007745143356150605,-0.025965774242567186,-0.0011212510861997593,-0.01738754892339267,-0.009745872327617144
2005-01-07,1.0384397506713867,2.115999937057495,4.795337677001953,18.40656852722168,0.1683245748281479,1.0441382796130212,2.134500026702881,4.805232996928826,18.558403263840244,0.17329133315610937,0.9709600583646016,2.058000087738037,4.66991897241335,18.372061051382495,0.16580313150211717,0.9747087243861631,2.069000005722046,4.715930741924951,18.510092271115056,0.17199211012602408,2227450400,196732000,387964757,68723300,763092000,0.07028312283095922,0.027721394767760144,-0.0029949894169782887,0.03046891725921752,-0.019334246181322623
2005-01-10,1.034091591835022,2.0920000076293945,4.82526969909668,18.496294021606445,0.16870690882205963,1.0601834976499591,2.1480000019073486,4.9004710962874505,18.537704584057362,0.17038756588885112,1.0178961567055231,2.0855000019073486,4.745367385788094,18.316853516490607,0.16771392059371143,1.0471370942658762,2.0969998836517334,4.811416535953198,18.35826276256532,0.16886002621601245,1725309600,146958000,302714411,70376600,579552000,-0.004195994653294476,0.006222500826398747,0.004862802774523445,-0.011406934400452595,0.0022688334857003944
2005-01-11,0.9681107401847839,2.0820000171661377,4.787668228149414,18.44797706604004,0.16351093351840973,1.0369399600078721,2.1080000400543213,4.890823152214927,18.510091573309598,0.16801925542393512,0.961812676970378,2.05049991607666,4.778761779000717,18.365158600597812,0.16098950365016917,1.0234443819787578,2.069999933242798,4.83912208158769,18.420371349684554,0.16710236810930454,2611627200,158406000,279391317,64712000,1093380000,-0.06593214950600942,-0.007823136486211135,-0.0026156685023979165,-0.004791571411814632,-0.0312830822417034
2005-01-12,0.9816070199012756,2.115000009536743,4.833185195922852,18.48249053955078,0.16213558614253998,0.9882048989764157,2.124000072479248,4.846791141301327,18.530801542694455,0.16557390283267434,0.9492162577451558,2.0409998893737793,4.712467417608537,18.372065013400643,0.1581627180353972,0.9814567609610431,2.07450008392334,4.807210812050022,18.475588779619386,0.16496325042160237,1919702400,161446000,328338096,72940600,1057800000,0.013844563109178573,0.009462218240870346,0.0018691062310525197,0.015725838569539685,-0.00844692309278594
